naksh_rus;naksh_en;naksh_small;naksh_shakti;naksh_descr;naksh_action_good;naksh_action_bad;naksh_ruler;naksh_ruler2;naksh_shakti_text;naksh_wish;naksh_simbol;naksh_got;naksh_body;naksh_tithi
Ашвини;Ashwini;🏁  Кшипра (быстрая) ;Шидра Вьяпани Шакти — Сила быстро достигать цели, получать необходимые вещи в жизни ;Торговля, покупки, короткие поездки, занятие спор­том, изготовление и одевание украшений, начало биз­неса, образование и обучение, прием лекарств.;"Хорошо для всех типов начинаний и инициаций (инициатив), особенно это относится к изучению нового, закладке фундамента, лечению, целительству, омоложению и физическим упражнениям. Хорошо для занятий по улучшению внешности, для собственного продвижения на другой уровень, и техники по замедлению старения. Хорошо для всех типов деятельности требующей быстроты мыслей и действий. Действия, связанные с лошадьми.
Благоприятно для продаж и покупок, путешествий, починки велосипедов и прочей механики и техники. Надевание одежды и ювелирных изделий.
Высаживание семян. Изучение астрологии и других оккультных и спиритических наук. Особенно хорошо для организации и устройства священных алтарей, статуй, часовен и т.п. Юридическая активность. Благоприятно для получения (принятия), смены имени на новое.";"Неблагоприятно для брака, всех видов окончаний. Также неблагоприятно для всех видов активности, требующей терпения и настойчивости.
Неблагоприятно для сексуальной активности; для деятельности, тяжелой в эмоциональном плане; интоксикаций и для завершения чего бы то ни было.";Кету  ;Шани ; Позволяет быстро достигать материальных и духовных целей или что-то приобрести. ;Ашвины пожелали: «Можем ли мы обладать хорошим слухом и не быть глухими?»Дает возможность слышать как на внешнем, так и на внутреннем уровнях. Вот почему ее относят к сфере тайного знания и магических способностей. Ашвины — врачи и чудотворцы среди богов. ;Голова лошади ;Ашвини Кумары (Врачеватели богов) ;колени ;-
Бхарани;Bharani;⚡ Урга (ужасная) ;Апа Бхарани Шакти — Сила отнимать и продолжать движение дальше ;Следует соблюдать осторожность: появляется опас­ность отравлений, разрушений, несчастных случаев, обманов. Рекомендуется не совершать поездок, не брать деньги под залог или в долг. В эти дни успеш­ны: работа с огнем или оружием, ядами и химически­ми веществами, подрезание деревьев, соревнования, рискованные действия.;"Любая творческая деятельность; накшатра благоприятна для беспощадных, жестоких, деструктивных, состязательных и воинственных действий; деятельность сексуального, любовного и творческого характера; церемонии, связанные с плодородием, и сельскохозяйственные занятия; начало и окончание деятельности; садоводчество; все занятия, связанные с использованием огня; накшатра также благоприятна для решения ранее отложенных и приберегаемых занятий; все действия, требующие спонтанности; аскетические занятия, требующие самодисциплины;";"Накшатра Бхарани наиболее неблагоприятна для путешествия (эта накшатра связанная также с «пробками» и происшествиями в дорожном движении); также накшатра не подходит для медленных, осторожных и нежных действий, требующих спокойствия и безмятежности; неблагоприятна для инициаций; в настоящие времена накшатра больше подходит для окончания дел, чем для их начинания.";Шукра  ;Раху ; Бхарани обладает силой забирать лишнее, позволяет что-то выбросить, положить чему-то конец и продолжить движение вперёд. ;Яма пожелал: «Могу ли я завоевать господство среди предков?» Хотят уважения и от старших, и от сверстников. Яма — божество смерти и дисциплины (судья). ;Йони (утроба);Яма (Бог смерти и справедливости) ;голова ;4
Криттика;Krittika;🔀 Мриду-тикшна (смешанная);Дахана Шакти — Сила сжигать и очищать на материальном плане. Возможность разорвать привязанности тела ;Заниматься рутинной деятельностью, повседневны­ми обязанностями, не следует начинать новые важ­ные дела.;"Культовый огонь; обряды очищения; отказ от старых привычек; оперативное внесение изменений и внезапные завершения; действия, требующие инициативы, мужества, лидерских качеств и исполнительских способностей; принятие важных решений; военная деятельность; споры; постоять за себя; приготовления пищи; шитье вышивка; резка; бритьё. Все действия, связанные с использованием огня или тепла; материнство и воспитание; хорошо для начала образования; хорошо для начала новых действий в целом; хорошо для тех видов деятельности, где требуются честность и искренность; большинство действий благоприятны в этой Накшатре.";"Общение; дипломатия; отдых или релаксация; активности на воде.";Сурья  ;Гуру ;Это духовная сила, позволяющая побороть все материальные страхи и привязанности (бедность, болезнь…) и обрести духовную свободу, прогресс на духовном пути.;"Агни пожелал: «Могу ли я стать тем, кто ест пищу Богов?»
Агни, будучи огнем, готовит и переваривает пищу. Криттика обеспечивает питанием и способностью хорошо его переваривать. Нативы любят действовать таким же образом для других.
";Бритва/резак;Агни  - бог огня;бока таза ;6
Рохини;Rohini;🏡  Дхрува (неподвижная) ;Рохана Шакти — Сила выращивания и созидания ;Рекомендуется совершать деятельность, рассчитан­ную на долговременный результат: заключать брак, начинать новый бизнес, сажать семена, переезжать в новый дом, давать клятвы, принимать обеты, за­кладывать фундамент дома, начинать строитель­ство и т.д.;"Накшатра крайне благоприятна для начала любой деятельности; благоприятна для таких сельскохозяйственных работ как посадка и посев, торговых и финансовых занятий любых типов; хороша для свадьбы, мер по исцелению и самосовершенствованию, исследования природы и путешествий; благоприятна для начала строительства, романтики и секса, приведения материального мира в порядок, покупки одежды, украшений, автомобилей и пр.";Накшатра неблагоприятна лишь для тех видов деятельности, которые связаны со смертью, разрушением и уничтожением.;Чандра ;Буддха; Сила начинать что-то новое (отношения, дело), позволяет проявлять то, что уже давно запланировано. ;"Глядя на Рохини, Брахма захотел: «Пусть она приблизится ко мне. Можем ли мы воссоединиться?» 
Тот, кто делает подходящее подношение Брахме, к нему приходит его возлюбленная (-ый), и они воссоединяются. Это накшатра любви, страсти и сексуальности, которая, как правило, плодотворна и креативна, но не склонна терпеть ограничения. Из-за этого накшатра является очень продуктивной почти для всяких дел, но также может вызывать ревность к себе.";Повозка, красная корова ;Брахма (Праджапати) - творец вселенной;голени ;1
Мригашира;Mrigasira;🍀  Мриду (мягкая) ;Принина Шакти — Сила исполнять и доставлять наслаждение, удовлетворение ;Заключение брака, знакомство, зачатие детей, на­чало новых проектов, покупки, путешествия, а так­же выполнение торжественных ритуалов: открытие чего-либо, чествование и т.д.;"Обычно благоприятна любая беззаботная деятельность; особенно благоприятны путешествия, изучение природы, осмотр достопримечательностей; сексуальные наслаждения; все виды артистической работы; исцеляющие и омолаживающие практики; основание образовательных заведений; превосходно чувствуют себя в коллективе; смена места жительства; подходит любая деятельность, связанная с общением; подходят устройство алтарей, религиозной атрибутики и выполнение духовных инициаций; подходят рекламная и торговая деятельность; смена имени.";"Не подходят брачные церемонии (в Ведических текстах говорится, что Шива взял в жёны Парвати, когда Луна находилась в этой накшатре, вследствие этого в их браке было много переживаний); не подходит любая тяжёлая и грубая деятельность; неблагоприятно спорить или принимать важные долгосрочные решения серьёзного характера.";Мангала;Шукра ; Дает возможность исполнять желания и быть удовлетворенным жизнью.;Сома пожелал: «Могу ли я завоевать господство среди растений?» Рожденные под Мригаширой выигрывают господство среди своих сверстников, а желая угодить Сома, вызывают восторг или доставляют наслаждение своим сверстникам. Они могут быть зажигательными и занимательными лидерами, сияющими для других как Луна. По этой причине такие люди обычно более всего ценятся в качестве друзей. Сома — божество блаженства, исцеления, омоложения и бессмертия. ;Голова оленя, Антилопа ;Чандра (Инду/Сома) - бог Луны;глаза ;5
Ардра;Ardra;💢 Тикшна (резкая) ;Ятна Шакти — Сила в применении усилий и умении достигать ;Активные действия, наступление, встреча с противни­ком. Возможны обвинения и ссоры. В это время бла­гоприятно заниматься духовной практикой. Рекомен­дуется не начинать поездку, не совершать покупки.;"Благоприятна исключительно для деятельности, связанной с профессиями и местами накшатры. Подходит для деструктивной деятельности, такой, как, например, разрушение старых зданий, избавления от старых, отживших свое вещей и привычек. Хороша для того, чтобы встретиться лицом к лицу со скрытыми, глубинными проблемами и сложностями, а также для исследований и творчества в контролируемых накшатрой сферах деятельности; подходит для умилостивления яростных божеств, таких как Рудра и Кали.";Накшатра неблагоприятна для любых начинаний. В целом неблагоприятна для таких «положительных» видов деятельности как заключение брака, путешествия, дарение и получение подарков, проведения религиозных церемоний и т.п.;Раху  ;Кету ; Если не хватает силы воли, то Ардра позволяет разрушить оковы невежества (убрать ненужное) и дать энергию обновления. Шакти подразумевает сосредоточение на поиске и приложение концентрированных усилий для достижения обозначенной цели. Рудра, Божество накшатры, выступает также в роли охотника и лучника. Для стрелка из лука (и накшатры соответственно) ключевым является постановка задачи и умение вовремя выстрелить, чтобы добиться необходимого результата. От точности выстрела зависит конечный результат.;"Рудра: «Могу ли я стать властелином животных?» 
Рудра (жестокая форма Шивы) — властелин диких животных, и всего того, что является диким, странным или вызывает тревогу. Всё это пронизывает Ардру, и таким образом, ей необходимо установить контроль над этим. Проявляется интерес к «дикому», неестественному, к обузданию диких качеств человеческой природы.";Голова, Слеза ;Рудра (Шива) - бог грозы и бурь;череп, волосы ;11
Пунарвасу;Punarvasu;🚀 Чара (подвижная) ;"Васутва Пропана Шакти — Сила в способности накапливать богатство и имущество; получать предметы на материальном уровне ";Путешествия, приобретение транспортных средств, начало лечения, начало ремонта, обучение, садо­водство.;"Путешествия, исследования, паломничества, принятие лекарств, и любая деятельность, связанная с лечением. Эта накшатра хороша для того, чтобы
«начать все сначала» - в проектах, взаимоотношениях и т.п. Любая деятельность, связанная с сельским хозяйством, садоводством. Любая деятельность, требующая воображения, новаторского подхода, покупка машин, домов. Начало строительства, начало обучения. Благоприятно для заключения брака. Хорошо для взаимодействия с детьми, филантропической деятельности – пожертвований и т.п. Хорошо для духовных практик – поста, возведения алтарей, медитации и самосозерцания. Хорошее время для наслаждения простыми радостями жизни. Очень хорошо для поклонения Божественной Матери.";Давать или брать деньги в долг, дела, связанные с законом, а также другие дела, связанные с давлением и конфликтами.;Гуру  ;Буддха; Даёт возможность накопить, открыв счет в банке, или приобрести какое-либо имущество.;Вначале на Земле не было растительности. Она пожелала: «Могу ли я производить травы и деревья?» Тот, кто делает соответствующее подношение Адити производит потомство и обзаводится крупным рогатым скотом. Пунарвасу — творческая накшатра, управляемая Землей — Вселенской Матерью Адити. Это дает способности создавать формы и структуры. Рожденным под этой накшатрой нравится производить вещи с материнской заботой к ним. ;Лук (с тетивой), Колчан ;Адити - мать богов;пальцы ;-
Пушья;Pushya;🏁  Кшипра (быстрая) ;Брахма Варчава Шакти — Сила управлять творческой энергией и пробуждать духовную энергию в каждом живом существе ;Торговля, покупки, короткие поездки, занятие спор­том, изготовление и одевание украшений, начало биз­неса, образование и обучение, прием лекарств.;"Лучшая Накшатра для начала чего-либо. Хороша для проведения вечеров, торжеств, художественных и творческих мероприятий, особенно музыкальных и танцевальных. Приятны путешествия. Можно начинать борьбу с врагами (враги ослаблены в Пушье и не могут причинить много вреда), поиск правовой помощи. Успешны финансовое планирование и сделки. Хороша для приготовления еды, садоводства, выбора и покупки домашних животных.
Любая деятельность, связанная с детьми, исцеляющая и успокаивающая деятельность в целом. Благоприятны религиозные и духовные старания, особенно посвященные Матери, проведение поклонений Божественной энергии Матери.
Хорошо для закладки первого камня в фундамент будущего дома, начало строительства дома и обращение за помощью к своему роду.";"Свадьба (женитьба) – практически единственный вид деятельности, которая неблагоприятна под этой Накшатрой.
Неблагоприятна для суровой, жесткой и негативной деятельности.";Шани  ;Гуру ; Позволяет очень сильно творчески прогрессировать, когда не хватает вдохновения, идей. Энергия питания и наполнения.;Брихаспати пожелал: «Может ли у меня быть роскошь владения духовным знанием?» Тот, кто делает соответствующее предложение Брихаспати обретает роскошь духовного знания. Пушья связывает нас с духовным знанием, а также с религией, ритуалом и моралью в целом. Посредством этой Накшатры добро побеждает зло. Брихаспати — первосвященник и гуру среди божеств, обладающих силой Божественного Слова. ;Цветок, Вымя коровы ;Брихаспати (Гуру богов) ;рот, лицо ;-
Ашлеша;Ashlesha;💢 Тикшна (резкая) ;Вис Ашлешана Шакти — Сила отравления и уничтожения жертвы ;Активные действия, наступление, встреча с противни­ком. Возможны обвинения и ссоры. В это время бла­гоприятно заниматься духовной практикой. Рекомен­дуется не начинать поездку, не совершать покупки.;"Все виды деятельности, требующие строгих мер, таких как работа с ядами, ведение судебных процессов и т.д.; благоприятствует интригам и заговорам против врагов; сексуальной активности, кратковременным действиям; Кундалини йоге.";"Неблагоприятна для всех начинаний; особенно неблагоприятна для коммерческой деятельности, для заимствования или предоставления ссуды.";Буддха ;Раху ; Шакти даёт понимание как можно обезвредить/обезоружить врагов.;"Боги и Демоны воевали. Боги принесли жертву Ашлеше. И Демоны были изгнаны. В Ашлеше можно победить своих врагов, отогнать ненавистных противников. Посредством этой накшатры человек получает яд змей для использования его на других. Рожденные под Алешей становятся могущественными воинами с мощным оружием. Ашлеша представляет Нагов, или Змей, их мудрость и силу. 
";Змея, Объятие ;Сарпа [змея] (Ахи) ;суставы, ногти ;9
Магха(щедрая) ;Magha;⚡ Урга (ужасная) ;Тьяга Шепни Шакти — Сила достигнуть непривязанности к телу и осознанная возможность покинуть тело ;Следует соблюдать осторожность: появляется опас­ность отравлений, разрушений, несчастных случаев, обманов. Рекомендуется не совершать поездок, не брать деньги под залог или в долг. В эти дни успеш­ны: работа с огнем или оружием, ядами и химически­ми веществами, подрезание деревьев, соревнования, рискованные действия.;Все виды церемоний, особенно помпезные и грандиозные, свадебные церемонии, эстрадные и публичные выступления включающие в себя музыку, ораторство и драма, общественные выставки, коронации, и другие события, связанные с короной, парады, церемонии награждения, исследование генеалогического древа, всё, что связано с прошлым, изучение и исследование истории, приобретение нового имени, совершенствование в профессиональной деятельности, разработка стратегии карьеры, продвижение по службе, пожертвования, изучение древнего знания, религиозная деятельность всех видов, особенно если она включает в себя поклонение предкам, благоприятно дискутировать, искать благосклонность облечённых властью людей, правительства и иных авторитетных персон.;Неблагоприятно давать взаймы, вести себя подобострастно, убого и обыкновенно, построение планов на будущее, медицинский осмотр, разведка, иметь дело с новыми технологиями.;Кету  ;Буддха; Шакти хороша для духовных вопросов и осознания материальных привязанностей (вопрос жизни и смерти). В состоянии болезни помогает осознать непривязанность к телу. ;Питры (предки) желали: «Пусть мы будем процветать в мире предков». Магха дает славу, которая проходит через поколения (как в семье, так и для всего человечества). Рожденный под этой накшатрой стремится к высокой репутации, к своего рода королевскому или покровительствующему статусу.;Паланкин, Трон во дворце;Питриган (Питара,Манес) - предки;нос ;30
