Nakshatra_date;Nakshatra_text;Nakshatra_time
01.08.2022;Uttara Phalg.;13:36
02.08.2022;Hasta;14:58
03.08.2022;Chitra;15:53
04.08.2022;Swati;16:17
05.08.2022;Vishakha;16:06
06.08.2022;Anuradha;15:21
07.08.2022;Jyeshtha;13:59
08.08.2022;Moola;12:06
09.08.2022;Poorvashadha;09:46
10.08.2022;Uttarashadha;07:09
11.08.2022;Shravana;04:22
12.08.2022;Dhanishta;01:37
12.08.2022;Shatabhishak;23:06
13.08.2022;Poorvabhadra;20:59
14.08.2022;Uttarabhadra;19:27
15.08.2022;Revati;18:37
16.08.2022;Ashwini;18:37
17.08.2022;Bharani;19:28
18.08.2022;Krittika;21:06
19.08.2022;Rohini;23:23
20.08.2022;Rohini;[весь день]
21.08.2022;Mrigasira;02:09
22.08.2022;Ardra;05:10
23.08.2022;Punarvasu;08:13
24.08.2022;Pushya;11:08
25.08.2022;Ashlesha;13:45
26.08.2022;Magha;16:02
27.08.2022;Poorva Phalg.;17:55
28.08.2022;Uttara Phalg.;19:25
29.08.2022;Hasta;20:33
30.08.2022;Chitra;21:18
31.08.2022;Swati;21:41
01.09.2022;Vishakha;21:41
02.09.2022;Anuradha;21:16
03.09.2022;Jyeshtha;20:26
04.09.2022;Moola;19:12
05.09.2022;Poorvashadha;17:35
06.09.2022;Uttarashadha;15:39
07.09.2022;Shravana;13:30
08.09.2022;Dhanishta;11:15
09.09.2022;Shatabhishak;09:05
10.09.2022;Poorvabhadra;07:07
11.09.2022;Uttarabhadra;05:32
12.09.2022;Revati;04:29
13.09.2022;Ashwini;04:06
14.09.2022;Bharani;04:27
15.09.2022;Krittika;05:35
16.09.2022;Rohini;07:26
17.09.2022;Mrigasira;09:51
18.09.2022;Ardra;12:40
19.09.2022;Punarvasu;15:40
20.09.2022;Pushya;18:36
21.09.2022;Ashlesha;21:16
22.09.2022;Magha;23:32
23.09.2022;Magha;[весь день]
24.09.2022;Poorva Phalg.;01:20
25.09.2022;Uttara Phalg.;02:37
26.09.2022;Hasta;03:24
27.09.2022;Chitra;03:46
28.09.2022;Swati;03:44
29.09.2022;Vishakha;03:22
30.09.2022;Anuradha;02:42
01.10.2022;Jyeshtha;01:48
02.10.2022;Moola;00:40
02.10.2022;Poorvashadha;23:22
03.10.2022;Uttarashadha;21:54
04.10.2022;Shravana;20:20
05.10.2022;Dhanishta;18:45
06.10.2022;Shatabhishak;17:11
07.10.2022;Poorvabhadra;15:47
08.10.2022;Uttarabhadra;14:37
09.10.2022;Revati;13:50
10.10.2022;Ashwini;13:32
11.10.2022;Bharani;13:47
12.10.2022;Krittika;14:39
13.10.2022;Rohini;16:11
14.10.2022;Mrigasira;18:17
15.10.2022;Ardra;20:52
16.10.2022;Punarvasu;23:44
17.10.2022;Punarvasu;[весь день]
18.10.2022;Pushya;02:42
19.10.2022;Ashlesha;05:31
20.10.2022;Magha;07:59
21.10.2022;Poorva Phalg.;09:57
22.10.2022;Uttara Phalg.;11:19
23.10.2022;Hasta;12:03
24.10.2022;Chitra;12:10
25.10.2022;Swati;11:45
26.10.2022;Vishakha;10:53
27.10.2022;Anuradha;09:40
28.10.2022;Jyeshtha;08:12
29.10.2022;Moola;06:35
30.10.2022;Poorvashadha;04:55
31.10.2022;Uttarashadha;03:17
01.11.2022;Shravana;01:45
02.11.2022;Dhanishta;00:23
02.11.2022;Shatabhishak;23:13
03.11.2022;Poorvabhadra;22:19
04.11.2022;Uttarabhadra;21:42
05.11.2022;Revati;21:27
06.11.2022;Ashwini;21:34
07.11.2022;Bharani;22:08
08.11.2022;Krittika;23:09
09.11.2022;Krittika;[весь день]
10.11.2022;Rohini;00:39
11.11.2022;Mrigasira;02:37
12.11.2022;Ardra;05:02
13.11.2022;Punarvasu;07:48
14.11.2022;Pushya;10:44
15.11.2022;Ashlesha;13:42
16.11.2022;Magha;16:28
17.11.2022;Poorva Phalg.;18:49
18.11.2022;Uttara Phalg.;20:36
19.11.2022;Hasta;21:42
20.11.2022;Chitra;22:04
21.11.2022;Swati;21:42
22.11.2022;Vishakha;20:40
23.11.2022;Anuradha;19:06
24.11.2022;Jyeshtha;17:06
25.11.2022;Moola;14:50
26.11.2022;Poorvashadha;12:28
27.11.2022;Uttarashadha;10:08
28.11.2022;Shravana;07:59
29.11.2022;Dhanishta;06:08
30.11.2022;Shatabhishak;04:41
01.12.2022;Poorvabhadra;03:42
02.12.2022;Uttarabhadra;03:13
03.12.2022;Revati;03:15
04.12.2022;Ashwini;03:46
05.12.2022;Bharani;04:45
06.12.2022;Krittika;06:08
07.12.2022;Rohini;07:55
08.12.2022;Mrigasira;10:03
09.12.2022;Ardra;12:29
10.12.2022;Punarvasu;15:11
11.12.2022;Pushya;18:06
12.12.2022;Ashlesha;21:05
13.12.2022;Ashlesha;[весь день]
14.12.2022;Magha;00:02
15.12.2022;Poorva Phalg.;02:45
16.12.2022;Uttara Phalg.;05:03
17.12.2022;Hasta;06:46
18.12.2022;Chitra;07:46
19.12.2022;Swati;07:59
20.12.2022;Vishakha;07:23
21.12.2022;Anuradha;06:02
22.12.2022;Jyeshtha;04:02
23.12.2022;Moola;01:32
23.12.2022;Poorvashadha;22:42
24.12.2022;Uttarashadha;19:45
25.12.2022;Shravana;16:51
26.12.2022;Dhanishta;14:11
27.12.2022;Shatabhishak;11:57
28.12.2022;Poorvabhadra;10:17
29.12.2022;Uttarabhadra;09:15
30.12.2022;Revati;08:55
31.12.2022;Ashwini;09:17
01.01.2023;Bharani;10:19
02.01.2023;Krittika;11:54
03.01.2023;Rohini;13:55
04.01.2023;Mrigasira;16:18
05.01.2023;Ardra;18:56
06.01.2023;Punarvasu;21:43
08.01.2023;Pushya;00:37
09.01.2023;Ashlesha;03:35
10.01.2023;Magha;06:30
11.01.2023;Poorva Phalg.;09:19
12.01.2023;Uttara Phalg.;11:53
13.01.2023;Hasta;14:05
14.01.2023;Chitra;15:43
15.01.2023;Swati;16:40
16.01.2023;Vishakha;16:52
17.01.2023;Anuradha;16:15
18.01.2023;Jyeshtha;14:52
19.01.2023;Moola;12:46
20.01.2023;Poorvashadha;10:09
22.01.2023;Shravana;03:59
23.01.2023;Dhanishta - 0:51;Shatabhishak - 21:57
23.01.2023;Shatabhishak;21:57
24.01.2023;Poorvabhadra;19:28
25.01.2023;Uttarabhadra;17:36
26.01.2023;Revati;16:27
27.01.2023;Ashwini;16:07
28.01.2023;Bharani;16:36
29.01.2023;Krittika;17:51
30.01.2023;Rohini;19:45
31.01.2023;Mrigasira;22:09
02.02.2023;Ardra;00:53
03.02.2023;Punarvasu;03:47
04.02.2023;Pushya;06:46
05.02.2023;Ashlesha;09:42
06.02.2023;Magha;12:33
07.02.2023;Poorva Phalg.;15:14
08.02.2023;Uttara Phalg.;17:44
09.02.2023;Hasta;19:56
10.02.2023;Chitra;21:46
11.02.2023;Swati;23:08
