moon_day;moon_day_name;moon_text_small;moon_text_1;moon_text
1;Шукла Пратипад;🌿 Нанда (радостные) титхи, средний результат для начинаний;"(«хороший, удовлетворение, наслаждение, тот, кто рождён, чтобы наслаждаться») – дают средний результат для большинства дел; стихия – земля.
Хороши для тех дел, которые предназначены для вашего наслаждения, также в общем хороши для любого вида дел. Определённый характер данных титхи хорошо показывает тот факт, что они становятся очень благоприятны, когда совпадают с пятницей.

 Рекомендуется планировать важные дела, продумывать их, представлять конечный результат, ставить цели. Для начала новых дел день не очень подходит, однако, способствует проведению торжественных событий: брак, посев, очистительные ритуалы, вступление в должность. День благоприятен для стрижки волос.";"Фестивали; путешествия; вхождение в должность; дела, связанные с домами или землями; подстригание волос."
2;Шукла Двития;🏵️ Бхадра (благие) титхи, средний результат для начинаний;"(«мудрец, благоразумный, достойный, пристойный») – дают средний результат для большинства дел; стихия – вода.
В общем хороши для любого вида дел, особенно хороши для образования и для Меркурианских дел, что показывает их особую благоприятность, когда они совпадают со средой. 

 День хорош для заключения брака, начала строительства или ремонта дома, закладки фундамента, любых дел, связанных с властями. Следует серьезно отнестись к пище, которую вы принимаете (в этот день она особенно влияет на тонкое тело), следует воздержаться от убойной пищи.";"Начало действий, связанных с властями; брак; дела, связанные с домами или землями; выполнение обещаний; вхождение в должность."
3;Шукла Трития;🌈 Джая (победные) титхи, лучший результат для начинаний;"(«победить») – можно начинать деятельность, дают хороший результат; стихия – огонь.
3-й/18-й титхи особенно хорош для свадеб.
Особенно хороши для любых дел, связанных с агрессивностью и проявлением храбрости, что подчеркивает их особую благоприятность при совпадении их со вторником. Также хороша в целом и любая благоприятная деятельность, но конечно же с исключениями.

 День действия, активности, принятия решений; день, когда пассивность и лень противопоказаны. Очень благоприятно в этот день заниматься спортом — от физических упражнений сжигаются лишние жиры, активно формируются мышцы, выходят токсины и шлаки. День хорош для стрижки волос, заключения брака, начала занятий музыкой.";"Брак; первое кормление ребенка; первый урок музыки; создание границ; строительство."
4;Шукла Чатуртхи;🌀 Рикта (пустые) титхи, нет результата;"(«пустые руки») – не начинать дела.
Плохи для большинства любых начинаний, но благоприятны для медитаций и любой другой духовной деятельности; особенно их характер подчеркивает тот факт, что они становятся благоприятны при совпадении с днём Сатурна – субботой; при этом надо учитывать, что в этом случае они благоприятны для субботних дел; пример благоприятной деятельности – уборка, споры, чистка, операции, борьба с врагами и т.д.
Не начинать дела, особенно связанные с получением.
Хорошо убирать негативную энергию из нашей жизни, чистка ума, чистка дома.

 В этот день лучше воздержаться от новых, активных действий, а посвятить время уборке дома, очищению ума и тела, борьбе с врагами. Но будьте бдительны - может проявиться склонность к принятию неправильных, ошибочных решений.";"Избавление от нежелательных объектов; чистка; война; использование огня. Титхи не хорош для благоприятных действий."
5;Шукла Панчами;🌈 Пурна (полные) титхи, лучший результат для начинаний;"(«полнота») – можно начинать дела.
Хороши для любого вида деятельности; особенно их благоприятный характер подчеркивает тот факт, что они образуют сильную благоприятную йогу при совпадении с четвергом.

 Самый лучший день для начинаний, необходимо действовать решительно и целеустремленно. День благоприятен для заключения брака, начала романтических отношений, путешествий, лечения.";Самый лучший Титхи для всех благоприятных действий, брака.
6;Шукла Шаштхи;🌿 Нанда (радостные) титхи, средний результат для начинаний;"(«хороший, удовлетворение, наслаждение, тот, кто рождён, чтобы наслаждаться») – дают средний результат для большинства дел; стихия – земля.
В 6-й/21-й свадьбы не делают.
Хороши для тех дел, которые предназначены для вашего наслаждения, также в общем хороши для любого вида дел. Определённый характер данных титхи хорошо показывает тот факт, что они становятся очень благоприятны, когда совпадают с пятницей.

 Этот день рекомендуется для строительства, работ по дому, огородничества, украшения дома, возобновления и улучшения отношений с людьми. В этот день обостряется интуиция, возможны вещие сны.";"Строительство; дела, связанные с домами или землями; изготовление украшений; завоевание чьего-либо доверия. Брак средне благоприятен."
7;Шукла Саптами;🏵️ Бхадра (благие) титхи, средний результат для начинаний;"(«мудрец, благоразумный, достойный, пристойный») – дают средний результат для большинства дел; стихия – вода.
В общем хороши для любого вида дел, особенно хороши для образования и для Меркурианских дел, что показывает их особую благоприятность, когда они совпадают со средой. Но образование лучше начинать в 6-й титхи, чем в 7-й.

 Благоприятный день для путешествий, покупки или ремонта транспортных средств, для заключения брака, физических упражнений, молитвы. День дает тенденцию к жестким действиям, но этого следует избегать.";"Действия, касающиеся транспортных средств, брака, музыки; начало поездки; физические упражнения."
8;Шукла Аштами;🌈 Джая (победные) титхи, лучший результат для начинаний;"(«победить») – можно начинать деятельность, дают хороший результат; стихия – огонь.
Особенно хороши для любых дел, связанных с агрессивностью и проявлением храбрости, что подчеркивает их особую благоприятность при совпадении их со вторником. Также хороша в целом и любая благоприятная деятельность, но конечно же с исключениями.

 Неблагоприятный день, однако хорош для обучения, спорта, лечебных и восстановительных процедур. Этот день обостряет восприятие и благоприятен для тех, кто способен жертвовать и прощать. Лучше воздержаться от поездок.";"Танцы; споры; физическая активность; изучение искусств; дела, связанные с домами или землями; обучение; строительство. Брак средне благоприятен."
9;Шукла Навами;🌀 Рикта (пустые) титхи, нет результата;"(«пустые руки») – не начинать дела.
Плохи для большинства любых начинаний, но благоприятны для медитаций и любой другой духовной деятельности; особенно их характер подчеркивает тот факт, что они становятся благоприятны при совпадении с днём Сатурна – субботой; при этом надо учитывать, что в этом случае они благоприятны для субботних дел; пример благоприятной деятельности – уборка, споры, чистка, операции, борьба с врагами и т.д.
Не начинать дела, особенно связанные с получением.
Хорошо убирать негативную энергию из нашей жизни, чистка ума, чистка дома.

 Считается неблагоприятным днем, однако это день, когда уместно рисковать, бороться с врагами, спорить, конкурировать, доказывать свою точку зрения; благоприятны физические нагрузки. Не рекомендуется начинать новые проекты, заниматься важными делами. Необходимо контролировать чувства - возможны вспышки раздражения, всплески эмоций.";"Споры; конкуренция; физические упражения; работа с инструментами; риск."
10;Шукла Дашами;🌈  Пурна (полные) титхи, лучший результат для начинаний;"(«полнота») – можно начинать дела.
Хороши для любого вида деятельности; особенно их благоприятный характер подчеркивает тот факт, что они образуют сильную благоприятную йогу при совпадении с четвергом.

 Хороший день для начала новых дел, для проведения свадьбы, путешествия, приобретения недвижимое™, автомобиля или запчастей к нему, общения с важными и высокопоставленными людьми, для лечебных и восстановительных процедур.";"Свадьба; одевание украшений; путешествия; вход в дом; дела, связанные с транспортными средствами, домами и важными людьми. Покупки для бизнеса."
