sign_date;sign_time;sign_en;sign_rus
01.08.2022;19:58;Virgo;♍ Дева
04.08.2022;04:09;Libra;♎ Весы
06.08.2022;09:35;Scorpio;♏ Скорпион
08.08.2022;12:06;Sagittarius;♐ Стрелец
10.08.2022;12:28;Capricorn;♑ Козерог
12.08.2022;12:19;Aquarius;♒ Водолей
14.08.2022;13:45;Pisces;♓ Рыбы
16.08.2022;18:37;Aries;♈ Овен
19.08.2022;03:36;Taurus;♉ Телец
21.08.2022;15:39;Gemini;♊ Близнецы
24.08.2022;04:26;Cancer;♋ Рак
26.08.2022;16:02;Leo;♌ Лев
29.08.2022;01:44;Virgo;♍ Дева
31.08.2022;09:32;Libra;♎ Весы
02.09.2022;15:25;Scorpio;♏ Скорпион
04.09.2022;19:12;Sagittarius;♐ Стрелец
06.09.2022;21:07;Capricorn;♑ Козерог
08.09.2022;22:09;Aquarius;♒ Водолей
10.09.2022;23:53;Pisces;♓ Рыбы
13.09.2022;04:06;Aries;♈ Овен
15.09.2022;11:59;Taurus;♉ Телец
17.09.2022;23:14;Gemini;♊ Близнецы
20.09.2022;11:53;Cancer;♋ Рак
22.09.2022;23:32;Leo;♌ Лев
25.09.2022;08:51;Virgo;♍ Дева
27.09.2022;15:47;Libra;♎ Весы
29.09.2022;20:53;Scorpio;♏ Скорпион
02.10.2022;00:40;Sagittarius;♐ Стрелец
04.10.2022;03:31;Capricorn;♑ Козерог
06.10.2022;05:57;Aquarius;♒ Водолей
08.10.2022;08:54;Pisces;♓ Рыбы
10.10.2022;13:32;Aries;♈ Овен
12.10.2022;21:00;Taurus;♉ Телец
15.10.2022;07:31;Gemini;♊ Близнецы
17.10.2022;19:57;Cancer;♋ Рак
20.10.2022;07:59;Leo;♌ Лев
22.10.2022;17:34;Virgo;♍ Дева
25.10.2022;00:02;Libra;♎ Весы
27.10.2022;04:00;Scorpio;♏ Скорпион
29.10.2022;06:35;Sagittarius;♐ Стрелец
31.10.2022;08:53;Capricorn;♑ Козерог
02.11.2022;11:46;Aquarius;♒ Водолей
04.11.2022;15:49;Pisces;♓ Рыбы
06.11.2022;21:34;Aries;♈ Овен
09.11.2022;05:28;Taurus;♉ Телец
11.11.2022;15:47;Gemini;♊ Близнецы
14.11.2022;03:59;Cancer;♋ Рак
16.11.2022;16:28;Leo;♌ Лев
19.11.2022;02:58;Virgo;♍ Дева
21.11.2022;09:58;Libra;♎ Весы
23.11.2022;13:33;Scorpio;♏ Скорпион
25.11.2022;14:50;Sagittarius;♐ Стрелец
27.11.2022;15:34;Capricorn;♑ Козерог
29.11.2022;17:21;Aquarius;♒ Водолей
01.12.2022;21:18;Pisces;♓ Рыбы
04.12.2022;03:46;Aries;♈ Овен
06.12.2022;12:33;Taurus;♉ Телец
08.12.2022;23:14;Gemini;♊ Близнецы
11.12.2022;11:21;Cancer;♋ Рак
14.12.2022;00:02;Leo;♌ Лев
16.12.2022;11:33;Virgo;♍ Дева
18.12.2022;19:59;Libra;♎ Весы
21.12.2022;00:26;Scorpio;♏ Скорпион
23.12.2022;01:32;Sagittarius;♐ Стрелец
25.12.2022;01:00;Capricorn;♑ Козерог
27.12.2022;01:01;Aquarius;♒ Водолей
29.12.2022;03:25;Pisces;♓ Рыбы
31.12.2022;09:17;Aries;♈ Овен
