yoga_date;yoga_name;yoga_time
28.07.2022;Siddhi;15:26
29.07.2022;Vyatipata;16:05
30.07.2022;Variyana;16:30
31.07.2022;Parigha;16:40
01.08.2022;Shiva;16:33
02.08.2022;Siddha;16:06
03.08.2022;Sadhya;15:17
04.08.2022;Shubha;14:03
05.08.2022;Shukla;12:21
06.08.2022;Brahma;10:11
07.08.2022;Vaidhriti;07:31
08.08.2022;Vaidhriti;[весь день]
09.08.2022;Vishkumbha;00:54
09.08.2022;Preeti;21:05
10.08.2022;Ayushman;17:04
11.08.2022;Saubhagya;13:01
12.08.2022;Shobhana;09:03
13.08.2022;Atiganda;05:19
14.08.2022;Sukarma;01:59
14.08.2022;Dhriti;23:07
15.08.2022;Shoolam;20:52
16.08.2022;Ganda;19:18
17.08.2022;Vriddhi;18:25
18.08.2022;Dhruva;18:10
19.08.2022;Vyaghata;18:28
20.08.2022;Harshana;19:10
21.08.2022;Vajra;20:07
22.08.2022;Siddhi;21:09
23.08.2022;Vyatipata;22:07
24.08.2022;Variyana;22:54
25.08.2022;Parigha;23:26
26.08.2022;Shiva;23:40
27.08.2022;Siddha;23:36
28.08.2022;Sadhya;23:13
29.08.2022;Shubha;22:32
30.08.2022;Shukla;21:33
31.08.2022;Brahma;20:16
01.09.2022;Indra;18:40
02.09.2022;Vaidhriti;16:45
03.09.2022;Vishkumbha;14:29
04.09.2022;Preeti;11:53
05.09.2022;Ayushman;08:57
06.09.2022;Saubhagya;05:44
07.09.2022;Shobhana;02:20
07.09.2022;Atiganda;22:45
08.09.2022;Sukarma;19:10
09.09.2022;Dhriti;15:40
10.09.2022;Shoolam;12:24
11.09.2022;Ganda;09:28
12.09.2022;Vriddhi;07:00
13.09.2022;Dhruva;05:07
14.09.2022;Vyaghata;03:46
15.09.2022;Harshana;03:04
16.09.2022;Vajra;02:57
17.09.2022;Siddhi;03:19
18.09.2022;Vyatipata;04:02
19.09.2022;Variyana;04:57
20.09.2022;Parigha;05:53
21.09.2022;Shiva;06:41
22.09.2022;Siddha;07:13
23.09.2022;Sadhya;07:24
24.09.2022;Shubha;07:11
25.09.2022;Shukla;06:34
26.09.2022;Brahma;05:36
27.09.2022;Indra;04:12
28.09.2022;Vaidhriti;02:32
29.09.2022;Vishkumbha;00:36
29.09.2022;Preeti;22:25
30.09.2022;Ayushman;20:01
01.10.2022;Saubhagya;17:27
02.10.2022;Shobhana;14:43
03.10.2022;Atiganda;11:51
04.10.2022;Sukarma;08:52
05.10.2022;Dhriti;05:51
06.10.2022;Shoolam;02:47
06.10.2022;Ganda;23:49
07.10.2022;Vriddhi;20:59
08.10.2022;Dhruva;18:23
09.10.2022;Vyaghata;16:05
10.10.2022;Harshana;14:12
11.10.2022;Vajra;12:45
12.10.2022;Siddhi;11:49
13.10.2022;Vyatipata;11:23
14.10.2022;Variyana;11:26
15.10.2022;Parigha;11:53
16.10.2022;Shiva;12:37
17.10.2022;Siddha;13:30
18.10.2022;Sadhya;14:21
19.10.2022;Shubha;15:01
20.10.2022;Shukla;15:21
21.10.2022;Brahma;15:16
22.10.2022;Indra;14:41
23.10.2022;Vaidhriti;13:36
24.10.2022;Vishkumbha;12:01
25.10.2022;Preeti;10:00
26.10.2022;Ayushman;07:37
27.10.2022;Saubhagya;04:57
28.10.2022;Shobhana;02:01
28.10.2022;Atiganda;22:59
29.10.2022;Sukarma;19:52
30.10.2022;Dhriti;16:45
31.10.2022;Shoolam;13:41
01.11.2022;Ganda;10:44
02.11.2022;Vriddhi;07:55
03.11.2022;Dhruva;05:20
04.11.2022;Vyaghata;02:54
05.11.2022;Harshana;00:44
05.11.2022;Vajra;22:52
06.11.2022;Siddhi;21:18
07.11.2022;Vyatipata;20:05
08.11.2022;Variyana;19:14
09.11.2022;Parigha;18:46
10.11.2022;Shiva;18:41
11.11.2022;Siddha;18:58
12.11.2022;Sadhya;19:32
13.11.2022;Shubha;20:19
14.11.2022;Shukla;21:11
15.11.2022;Brahma;22:00
16.11.2022;Indra;22:37
17.11.2022;Vaidhriti;22:52
18.11.2022;Vishkumbha;22:40
19.11.2022;Preeti;21:54
20.11.2022;Ayushman;20:32
21.11.2022;Saubhagya;18:36
22.11.2022;Shobhana;16:06
23.11.2022;Atiganda;13:08
24.11.2022;Sukarma;09:48
25.11.2022;Dhriti;06:12
26.11.2022;Shoolam;02:28
26.11.2022;Ganda;22:43
27.11.2022;Vriddhi;19:02
28.11.2022;Dhruva;15:34
29.11.2022;Vyaghata;12:22
30.11.2022;Harshana;09:30
01.12.2022;Vajra;07:02
02.12.2022;Siddhi;04:59
03.12.2022;Vyatipata;03:19
04.12.2022;Variyana;02:04
05.12.2022;Parigha;01:10
06.12.2022;Shiva;00:36
07.12.2022;Siddha;00:21
08.12.2022;Sadhya;00:23
09.12.2022;Shubha;00:41
10.12.2022;Shukla;01:12
11.12.2022;Brahma;01:54
12.12.2022;Indra;02:44
13.12.2022;Vaidhriti;03:36
14.12.2022;Vishkumbha;04:23
15.12.2022;Preeti;04:59
16.12.2022;Ayushman;05:15
17.12.2022;Saubhagya;05:03
18.12.2022;Shobhana;04:17
19.12.2022;Atiganda;02:53
20.12.2022;Sukarma;00:50
20.12.2022;Dhriti;22:09
21.12.2022;Shoolam;18:55
22.12.2022;Ganda;15:13
23.12.2022;Vriddhi;11:10
24.12.2022;Dhruva;06:55
25.12.2022;Vyaghata;02:39
25.12.2022;Harshana;22:28
26.12.2022;Vajra;18:31
27.12.2022;Siddhi;14:56
28.12.2022;Vyatipata;11:50
29.12.2022;Variyana;09:15
30.12.2022;Parigha;07:15
31.12.2022;Shiva;05:48
01.01.2023;Siddha;04:53
02.01.2023;Sadhya;04:26
03.01.2023;Shubha;04:22
04.01.2023;Shukla;04:35
05.01.2023;Brahma;05:03
06.01.2023;Indra;05:40
07.01.2023;Vaidhriti;06:23
08.01.2023;;07:11
