tithi_date;tithi_day;tithi_time;
28.07.2022;1;20:54;1
29.07.2022;2;22:51;1
30.07.2022;2;[весь день];1
31.07.2022;3;00:30;1
01.08.2022;4;01:48;1
02.08.2022;5;02:43;1
03.08.2022;6;03:12;1
04.08.2022;7;03:11;1
05.08.2022;8;02:36;1
06.08.2022;9;01:27;0
06.08.2022;10;23:41;1
07.08.2022;11;21:21;1
08.08.2022;12;18:30;1
09.08.2022;13;15:16;1
10.08.2022;14;11:45;1
11.08.2022;15;08:08;1
12.08.2022;16;04:35;1
13.08.2022;17;01:17;0
13.08.2022;18;22:23;1
14.08.2022;19;20:06;1
15.08.2022;20;18:32;1
16.08.2022;21;17:47;1
17.08.2022;22;17:54;1
18.08.2022;23;18:51;1
19.08.2022;24;20:29;1
20.08.2022;25;22:39;1
21.08.2022;25;[весь день];1
22.08.2022;26;01:06;1
23.08.2022;27;03:37;1
24.08.2022;28;06:00;1
25.08.2022;29;08:08;1
26.08.2022;30;09:54;1
27.08.2022;1;11:17;1
28.08.2022;2;12:15;1
29.08.2022;3;12:50;1
30.08.2022;4;13:03;1
31.08.2022;5;12:53;1
01.09.2022;6;12:19;1
02.09.2022;7;11:21;1
03.09.2022;8;09:58;1
04.09.2022;9;08:10;1
05.09.2022;10;05:58;1
06.09.2022;11;03:24;1
07.09.2022;12;00:35;0
07.09.2022;13;21:35;1
08.09.2022;14;18:33;1
09.09.2022;15;15:38;1
10.09.2022;16;12:58;1
11.09.2022;17;10:45;1
12.09.2022;18;09:05;1
13.09.2022;19;08:07;1
14.09.2022;20;07:55;1
15.09.2022;21;08:30;1
16.09.2022;22;09:49;1
17.09.2022;23;11:44;1
18.09.2022;24;14:03;1
19.09.2022;25;16:32;1
20.09.2022;26;18:56;1
21.09.2022;27;21:04;1
22.09.2022;28;22:47;1
23.09.2022;28;[весь день];1
24.09.2022;29;00:01;1
25.09.2022;30;00:42;1
26.09.2022;1;00:54;1
27.09.2022;2;00:38;0
27.09.2022;3;23:58;1
28.09.2022;4;22:57;1
29.09.2022;5;21:39;1
30.09.2022;6;20:05;1
01.10.2022;7;18:17;1
02.10.2022;8;16:17;1
03.10.2022;9;14:08;1
